User_Name,User_Review_Count,Review_Content,Owners_Response
singh laprit,4 reviews,Great product and customer support regarding about product and delivery,"Dear Pintu, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Mahesh M,2 reviews,It is very good product. Company people are good response all the time.,"Hi Suman, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Ravee TR,9 reviews,"Service good. Product is okay, working well. Power is medium . For field crops ok.","Dear Mahesh, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Raju Shivappa,4 reviews,"Interaction of staff & response to all the queries are attended within the timeframe, thank you.","Dear R.B Tyagi, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
sha manila,3 reviews,Thank you tools villa I am satisfied easily and quickly operating tool .,Thank you Sir. Means a lot!
antony robin,2 reviews,"Cheap, and has the quality which matches the price.
Enough power for home/hobby use. But not sufficient for commercial use.","Dear Ramesh, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
online education Mathematics,1 review,I am using jigsaw machine for 2 months. It is working good.,Thanks !!
Mir Moiz Ali,Local Guide ・6 reviews,The telecaller was very polite and very confident. This is all that a customer wants.,"Hi, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Ebrahim Kutty,1 review,Delivery was on time and without any damage...delivery update was on point..loved the service,"Hi Monu, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Bottu Mallesh,1 review,Very good product ontime delivery no mess with mist blower fully satisfied,"Hi, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Shashikant Vedpathak,Local Guide ・52 reviews,"Extraordinary , very nice and easy to handle without any risk.
Really great !!!","Hi Subroto, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Alom Hussan,1 review,Bree good 😉 and Hard sprid waw,"Hi Dipak, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Suresh T.V.,1 review,Happy to have got prompt delivery even during covid lockdown,"Hi kishan, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Sandeep Garodia,1 review,Very smooth transaction. Also the Machine is very good to work with.,"Hello Sir, please share your order number. We will quickly check the issue & resolve the same. Thanks !"
satty satz,1 review,Good product and delivered on time 😎,"Sorry Sir, this is not the experience we want to offer to our customers. Kindly share your order number so that our support team can immediately look into & resolve the same for you.
Regards,
Support Team,
Toolsvilla"
conrad hsue,3 reviews,I will not recommend shopping on Toolsvilla as their team is extremely unresponsive. I have sent them many messages via their own website and also through messenger as well as whatsapp and that was several days ago but i haven't got any …,"Dear Bhaskar, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Hetal Patel,1 review,Very good product..Useful for . Home purpose . Great work by tools villa..,"Dear Ganesh, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Vinnu ocent,1 review,"I have ordered 1hp air compressor for my works it works very well,no complaints about delivery packing process.Hope I want to shopping again and again in tools villa.finally thank u for costumer service.........","Dear Balaji, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Kashyap Challa,1 review,Tools villa service is very good right from order placement to delivery.,"Hello sir please share your order number so that we can send you the spare part for this product. Thanks,"
Bhaskar Sharma,1 review,"Lived up to their commitment.
Keep up the good work.","Dear Damodar, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Amar Kumbhar,1 review,I am  use product it is very smooth and high pressure and full spray it is very good spray gun,"Dear Selva, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Ankit singhal,1 review,"no call pickup....
payment lene k bad koi response nhi. full payment advance m le lete h chahy order COD m ho.","Dear Siva, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
kiriti k,12 reviews,Late deliveries and late refunds. No proper response when you write to customer support,"Dear Mr. Raj, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Gagan Kusum,1 review,I am happy for this product.,"Apologies for the inconvenience Sir. This is surely not the experience we want to deliver. Kindly share your order number so that we can fix the issue for you. Thanks,"
narsareddy 83,1 review,"Very good machine and working effectively
Delivery also very fast","Thanks Sir, !"
Nitin Dargar,12 reviews,"Poor service,take payment in advance and then will call after 15 days that product is out of stock ,and will give other options which have higher margin. Don't believe on this website.they will waste time and money",Thanks Sir !
Sony Thomas,1 review,It is  good and valuable product.. Worth to purchase...,Thanks Sir. Glad you liked our service!
Sperry Fereira,1 review,U can trust as thy showing bfore buying.,"Dear Md. Asad, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
sanyas rao,1 review,"I purchased this welding machine,this is worthy for that price and properly working for my domestic use","Dear Senthil, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
david christopher,1 review,Got a faulty product after 2 weeks of follow up even though it was compliant to the return policy the denied proper service and gave me a brand new faulty product even though I was eligible for a refund or a replacement ........worst …,"Dear Sir, please share your order number. We will resolve the matter at the earliest. Thanks,"
S.Krishna Murthy,1 review,I bought a paint gun it is good quality and price worth nice product,"Please share your order number sir, so that we can check the matter for you."
Raghunath Srivatsa,21 reviews,"We bought an oil extractor ,it is of very good quality and woukd recommend.",Thank you Sir!
Ram Mohan,1 review,Good product.   They should provide a guideline for assembling the product.,"Dear Kulbir, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day.We will use the feedback to make us better. So thanks for your kind words and we look forward to seeing you again."
Sadhan kumar Roy,81 reviews,Nice Toolsvilla Near Bhiringi Kali Mandir.,Thanks Sir !
Sudhir Kumar Das,4 reviews,Sprayer Machine working perfectly since received.,"Dear Parag, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Rakesh Prajapati,2 reviews,"Hello Support Team,

As per your coversation, now i am sending the account detail second time
, first i have sended on 9 th july but as didnt taken any action from you and i have not revieve any mail regarding to refund from you side, while …",Thanks Sir !! :)
Genius Guru,1 review,"Don't buy products from tools villa they cheats you and give defected(old) or damage product and they will not replace even you file FIR against them.
Very bad Service and products
Here is toolsvilla Order ID : 11023734. I hope you will remember all your sins...","Dear Satish, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Digvijay Patil,2 reviews,best service and trustworthy site to purchase vast range of tools.,"Dear Nagaraju, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
games games,1 review,"Very timely delivered and good product
Worth spending money","Dear Pratap, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Badarinarayan T V,2 reviews,Toolsvilla service is good but the delivery is late,"Dear Sir/Madam, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Shereen Thomas,1 review,"People are very kind,  They helped me with selecting the product,the machine is working very well .",Thank you Sir!
hari krishna vishnumolakala,Local Guide ・43 reviews,"Very good product (fogger), good working","Dear Braja Mohan, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
Md farhan hussain,Local Guide ・27 reviews,I ordered for a multi purpose tool kit.. order delivered on time.. packing was good. Rates were reasonable. Product quality also good...,"Dear Khaja Mohiddin, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
EXTREME MACHINE,1 review,Good product with lowest price,"Hi nandhi, we appreciate you taking time out to leave an insightful review. Thank you for choosing Toolsvilla. We hope to see you again soon!"
Ramamohan S.P.,3 reviews,Prompt delivery and courteous service,"Sorry to hear that, Sanaye. We understand your concern about the recent purchase. Please share your order ID. Be assured, one of our specialists will get in touch with you over call or via email at the earliest to discuss this further."
ramakrishnan jayakrishnan,2 reviews,"Very good product easy to operate, worth for the price, congrats toolsvilla.","Sorry to hear that, Rajesh. We understand your concern about the recent purchase. Thanks for sharing your order ID. Be assured, one of our specialists will get in touch with you over call or via email at the earliest to discuss this further."
Bkrenu Agroha79,1 review,Oil machine is nice working.simple method.,"Hi pawan, thank you for such a positive feedback. Please visit Toolsvilla.com to stay updated with the latest deals and offers!"
Barun Ghosh,4 reviews,"Don't buy products from tools villa they cheats you and give defected(old) or damage product and they will not replace even you file FIR against them.
Very bad Service and products.","Hi Amit, we're not sure if we got what you meant.

Didn't get what you were looking for? Contact us: 03436610100/support@toolsvilla.com"
Prakash Chandra,1 review,Best flour mill and economical  and delivery service is also good,"Apologies for the inconvenience Sir. Due to the COVID pandemic we are working with limited support staff and in some cases the resolutions are being delayed. Please share your order number so that our team can contact you asap.
- Support Team
(0343-6610100)"
Banu patlolla,6 reviews,"I have Purchased brush cutter 2stroke side pack from toolsvilla with weeder, here I suggest the farmers that don't buy the products from this toolsvilla company because the petrol consumption is more & the sound it makes more noise, the …","Dear Ravindra, thanks for leaving us such a review. We always aim to deliver a great experience. We are gutted when we miss the mark! Thanks for taking the time to bring this to our attention. We will use the feedback to make us better and to ensure this doesn’t happen again."
Dr. Sanjay Ketan Jena,2 reviews,Product is good and working well.But U are expected to respond when required.,"Dear Suvendu, thanks for leaving us such a wonderful review. We are thrilled that you loved your experience; our staff will definitely be happy to read what you wrote. We put customer experience and satisfaction as our priority, and your review reaffirms the hard work we put in every day. So thanks for your kind words and we look forward to seeing you again."
SANTHAJI PERVAR,Local Guide ・69 reviews,"Great website, delivered goods",Thanks Sir! :)
jayendra deshwal,1 review,Very nice product. Easy to use and transport. Valuable for money. I am very satisfied with this Water pump. I use it for farm pond.,Thank you Sir!
Ravikantha Mallya,6 reviews,"Timely Delivery. Good product, best packaging. Value for money. Van rely upon the supplier.","Dear Sir, we are sorry for the poor experience that you had with us. Requesting you to share the order ID so that our support team can look into it at the earliest. You can also mail us on info@toolsvilla.com"
Netresh Nirmal,6 reviews,"Cheaters of first order , Take advance money and will delay the order for 2 months , no option to get that money and after 2 months the consignment will not have the ordered items. Pathetic customer support and clueless agents , will force …",Thanks Sir ! :)
Sathish Hegde,1 review,Good product use,Thanks Sir :)
vishnu sappidi,3 reviews,Worst service and supply chain management,Thank you for the Feedback Sir!
Jodhasingh Rathor,1 review,I ordered a water pump. Product is good and working smoothly. Thanks toolsvila for the finest deal.,Thank you Sir!
Babu Khanikar,5 reviews,Good service and product,Thanks :)
Madhav Agrawal,1 review,"Good experience, support staff is good .",Thank you Sir. Glad you liked us!
Moo Moo TV,1 review,"I'm Ankit anand.
I ordered a chainsaw machine from this website.
It works fine.
Most trusted website for tools and machinery 😊",Thanks!
Aditya Pratap Singh,1 review,It is a very good machine and very easy to assemble it and very easy to use it,Thanks Sir :)
Rishabh jain,2 reviews,My experience was good with toolsvilla.,Thanks Sir ! :)
Srinivasarao Kolachena,1 review,Product is good and useful,Thank you Sir!
Richard J,2 reviews,Purchased 3 Nos pressure pumps well packed timely delivered. Very good response.,Thank you Sir!
Rakesh Datt,2 reviews,"The kalsi cutter does the job it is made for. The advantage of the export model is that it's less messy because chpped leaves dont fly all over thanks to the cover provided.
It would be a good idea to provide vacuum cups under the legs of the machine so that it sticks to the kitchen slab during operation of the machine",Thanks Sir :)
GITA KUMARI,1 review,I am happy,Thank you Sir!
Srasti Singh,2 reviews,"Very bad products , services is not good
Raj kushwaha",
Twin Spring,1 review,"I had ordered Heavy duty Laxmi Wet Grinder 0.25HP, 2 Liters for a commercial use and as per my experience I have been very satisfied with the product.",
Snacks4U Traditional Namkeens,1 review,Great service and product quality was also good,
guru mohan,1 review,Ordered multi purpose oil press machine. The process was smooth and intimate delivery.,
sachin bharti,8 reviews,I had ordered single phase 5hp motor and it's working fine... Delivery is also on time... You can trust toolsvilla...,
Subba Rao Pampana,19 reviews,Good product....so far so good,
prabhakar bingi,3 reviews,Working very good. Very easy to use and enjoying fresh atta as when required,
Amal Saha,1 review,Very bad they don't delivery in time and after tacking advance they don't do any thing for castomer .,
avinash nf,1 review,I'm happy with Toolsvilla nice service home dilewer to exland. Nice Toolsvilla teem,
prahallad sahu,1 review,"I took a brush cutter from tools Villa . The
Product is good & operation system also
easy  to Farmer, no problem.",
Raj Agrahari rinku,4 reviews,Amazing product provided by toosvilla. I bought a aata chakki its work wonderfully. Thanks to toolsvilla.,
Prabu Navaneethakrishnann,8 reviews,Toolsvilla brush cutters working fine. I bought both 2 stroke and 4 stroke. Its easy to search in Toolsvilla what agri product we want. Its one stop shop for agri tools.,
Dr Abhishek Kshetrapal,6 reviews,would recommend one and all.,
Ajo Joseph,1 review,"Very good product...
All over the tools inside the tools box are Good",
Jyotishree Das,4 reviews,Nice product and excellent service by company,
Sanjeev Rao,12 reviews,"Poor after sales support, finally ended up keeping a junk product as display at home, 18,000.00 becomes complete waste",
Suvojit Music,4 reviews,Nice machine thanks for toolsvilla,
KIRON PANGING,2 reviews,Good Product,
Chinmaya kumar Mahapatra,1 review,"Fast shipping,quick response for support",
Amardeep Saini,Local Guide ・13 reviews,A useful and worth product .,
rk pannala,8 reviews,Excellent followup prompt delivery.  Please keep it up,
Ramnik Ratan,1 review,My rating us 4.5 and it is more beneficial if someone get local level demonstration,
St. Xavier' High School Banda,1 review,"I bought electric operated lawn mover Brand Makita, delivery was in time and product is working properly. Till now satisfied with the service and the product 👍",
FLP INDIA,1 review,Nice product,
Nk Nair,2 reviews,Nice product,
Dalpat,2 reviews,Good Product,
Habiba Abdul,1 review,Product is very useful and nice.I m totally satisfied with toolsvilla,
Rabde Vinod,3 reviews,Product is good  reasonable price on time  delivery response  from customer care is excellent...,
Ravi Sankar,1 review,"i purchase sprayer good model,good work,iam happy thanks toolsvilla",
Shridhar Nakka,1 review,"Purchased manual sprayer, and it is working well.

Worth pricing.",
BALWINDER SINGH,2 reviews,I have purchased mini rice mill good but rice goes to in bura,
Rajendra Sharma,2 reviews,This is really very good product.,
abhimanyu chauhan,Local Guide ・14 reviews,Excellent purchase,
magic wood design,1 review,Very nice,
Hemant Kumar,1 review,"Best machine for agricultural purpose.
Thanks toolvila",
Sayantan Sarkar,1 review,"I had ordered an electric drill, but when I tried to change the delivery location there is no option in the website, then I tried to call customer service but they are not picking phone call.",
Satendra Bind,1 review,Nice good product and price,
Pintu Mondal,1 review,"Very good product
Quality is very good
Thank u so much!",
K J S TELUGU CHANNEL,1 review,Worst company don't bring this products,
Rr Ramu,1 review,"Very very worst service and customer care stratification 0%... I bought battery sprayer and it's not working when I use.. I ready raised complient they took one month to inform that need to pay additional cost for rectification..

Don't recommend to all frds",
Suman Khusi,1 review,Happy💞,
Dr Mahesh Zala,2 reviews,The machine worka varywell and delivered timely,
satya prasad Satya,3 reviews,Very genuine products  thanks to tolls villa .com,
girishbhai patel,1 review,"Petrol water pump work satisfactory, but spare parts ? Service stations?",
Sandeep Choudhury,3 reviews,"Badi bekaar company hai, bachke rahena. If I had an option to give 0 star rating, I would have done that. They have no control on their supplier and when you reach for assistance to the support team they will take you round and round to …",
R.B. Tyagi,6 reviews,"Awaisom product of Toolsvilla and better response Good results,",
Ajay Kadambala,9 reviews,"Service is good, delivery is fast and apt, the machine is also good",
Ramesh Mallick,1 review,I m satisfied like a world cup winner.,
Mateen Shaik,1 review,"Product quality is awesome,superb👌👌👌",
anchal garg,1 review,Variety of products at good price.,
Mahipal Singh Kheechi,1 review,The product i i orded and the customer support team was awesome.,
Manorenj Reghunathan,Local Guide ・68 reviews,"Product send will be different from product that we buy.  Use only COD option if you want to buy anything from here. Customer support is useless. After taking money, there is no customer support. Fake company in my opinion",
Aftab Alam,1 review,Good machine Quality,
lsomaraju kushe,1 review,Good,
Monu Art,1 review,Good,
Md Sahbaj,Local Guide ・60 reviews,Company without any ethics towards employees and they deals with Chinese products because they get more margin on that and when comes to service they just ask you that they will replace the spare parts but when machine gets damage they just …,
wanjop warbah,2 reviews,Excellent product.,
CHANDRAGIRI VENKATSATISH,1 review,Nice Air compressor,
Munin Boruah,1 review,good product.worth of money,
RENJITH JAMES,4 reviews,Very good experience,
bibi nallur,Local Guide ・5 reviews,quality product..,
Jayendra Panchal,Local Guide ・39 reviews,Only cleaning issue,
Manish Dhanwar,Local Guide ・11 reviews,I have ordered Heavy Duty House Hold Rice Mill with 3Hp motor. The item was delivered before expected date. Being a rural islands i am very thankful to Toolsvilla and Gati KWE. The machine is also running very good.,
Debat-Fun Food & Travel,3 reviews,Great quality product really satisfied with the product. Thanks Toolsvilla,
Rahul Jain,2 reviews,Nice,
Tirtha Ashram,Local Guide ・20 reviews,Very good product,
ajay kushwaha,2 reviews,Thank you toolsvilla,
Subroto Das,1 review,Nice,
Dipak Kumar,1 review,Good,
kishan vaghela,1 review,Nice,
Piyush Sharma,1 review,Nice product.,
Inder Rajak,1 review,Machine working is best,
Krishna veni N,2 reviews,Very  very very bad service  and bad company,
Abhishek Patidar,Local Guide ・209 reviews,"Good product 👍
Thank you toolsvilla",
Md Majid khan,2 reviews,I am from bihar purchased water pump from toolsvilla but the machine which i receive the was defective and i ask him to refund my money they started telling sir we will not return please look at for local technician we will only provide …,
neeraj bhoir,1 review,"I orderd air compressor delivery took tym and some oil had leaked from the box ,machine is working though the prices are affordable i am not sure about warranty and after sales services though",
Manish Kumar,3 reviews,Shopping at Toolsvilla was a positive experience. You can get really quality products and fast delivery for really low prices. Highly Satisfactory !,
Mohammad Wasim,Local Guide ・7 reviews,Big Frud company. Don't buy anything. Please,
Sunil Dsouza,2 reviews,Worst delivery. I purchased grass cutter from tools Vila it's carborator not working then I spend 2000 rupees for repairs. Poor quality   machinery very bad customer support. don't buy from tools Villa.,
PANKAJ TRIPATHI,Local Guide ・24 reviews,"Brush cutter is very good and I am use cut the wheat around 1 bigha and time spend is 2 hour and seen the many people and two orders in toolsvila, one is delivered and one is dispatched so very good Machine on farmers",
Sonam Rangdol,1 review,"I have bought Heavy duty Mini flour grinder n It's not working properly , It could grind at little but making noise  n motter's getting hot  n Today it get fuse ! Now Whr do I find ur mechanic ? I found My Grinder  also get scratched n hit during transportation in Gati at home",
Katteramalla Pavankalyan,8 reviews,good quality products with best response from the management.. 👌👌,
ORBIZ GM,3 reviews,"VERY BAD RESPONSE FROM TOOLS VILLA REPRESENTATIVES. THEY NOT EVEN RESPONDING WELL FOR QUERIES SINCE 15 DAYS.  I THINK THEY DONT WANT ANY BUSINESS.  THEIR TEAM NOT SHOWING ANY INTEREST  FOR SELLING PRODUTS.

VERY BAD EXPERIANCE. NOT RECOMENDED.",
amit kumar tomar,2 reviews,I received Shakti electric pressure washer in time. The item is working well and giving desired pressure. I am satisfied with  toolsvilla,
Bhaskar Naik,1 review,I have been very satisfied with the product,
Anoumous Boy,3 reviews,Good products,
durgadas mishra,1 review,good product,
Nawab ALI,1 review,Good tools,
Dheeraj Kumar,1 review,"Very important things for small former
And very useful this machine",
Nilesh Patel,3 reviews,"my order no 11004439-1 , pl supply or refund my money. I was promised to supply in 8-10 days but even after 15 days , there is no reply on status of despatch",
Ganesh Mohan,1 review,VERY Good product for domestic purpose,
Aswath G,1 review,"Excellent job by toolsvilla
Thanks",
B.Vinmiga 4th D B.Vinmiga 4th D,1 review,Good machinery  delivered in  schedule time,
ganesh g,1 review,Very worst service....i ordered kerosene engine..it was problem with oil flower...and we facing irrigation issue..my total 1 acre corn wasted by toolsvilla...total loss of 70000 bcoz of toollsvilla...dont buy anything from this conpany...they give fake promises....they never value customer once product sold.,
damodar naidu,3 reviews,Its is useful and reduce manpower .,
Sunil Kumar,1 review,Very nice product and i am satisfied this product,
Selva Kumar,1 review,Good quality and quick delivery.,
Siva Paramesh Chidambaram,1 review,Very positive experience overall :),
punch kumar,1 review,I am satisfied with the product and delivery was very prompt.,
Sadananda Dutta,3 reviews,Worst company I had ever worked...scam company,
Dipak Setting,1 review,"Best customer service by an Online Service provider. Excellent Service of handling customers, fulfilled their promise.
Thanks Toolsvilla",
Ræj Küshwæh,Local Guide ・42 reviews,Good services tollsvilla.....,
Nand Kishor,6 reviews,"1. Defective product and very bad customer support... I bought a ""Kisankraft Electric Hedge Trimmer, 600 watt, KK-HTE-600"" from the and after receiving the product ... it was showing fire just after second of ""switch on""... now they are …",
SACHIN KHAITAN,1 review,Nice Experience. Timely delivery & affordable product price.,
nikhil bongale,2 reviews,Good,
Rishabh Agarwal,2 reviews,"I wish i could vote even lesser than this.

They are very passive once order is placed , I purchased product worth 6k and found it broken while receiving it. when i informed them regarding that ; only thing which they did was transferring …",
Pravash Sahoo,1 review,I am appreciated to this organization for timely received the goods.,
Sachin Kumar,1 review,Nice product but deliver process very week,
Prakash Pawar,1 review,Very nice mini rice mill,
Sonu Gangore,1 review,This product is gret,
Shiva Shankar Prajapathi,1 review,Good,
Pramod Malik,1 review,Very good product and very good delivery service.,
Dipak Kumar,5 reviews,Express Delivery and Best Quality Product than Amazon and ebay. Thanks Toolsvilla,
Md.asad Riyaz,1 review,Timely delivered.Good product,
senthil kumar,1 review,Very good product this,
rajeev khatri,1 review,Very bad service .Ordered for oil extraction machine they dispatched the smaller one and after refusing to take delivery they refused to return the Amount paid My order no was   100014846,
sandeep salawadgi,12 reviews,"pathetic experience.
after order confirmation they took 18 days to dispatch.
worst kind of employees.
Senior Executive Mr. Rajat should be fired for his unethical and unprofessional behavior.",
Harsh Chaudhary,1 review,It's really helpful and useful,
Chakri techintelugu,Local Guide ・147 reviews,Very bad experience in toolsvilla very bad delivery delay fnzsss,
Adityakumar Gupta,2 reviews,Good  products,
Kulbir Singh,2 reviews,Quality is excellent,
Sandeep Singh,2 reviews,Great site and operations..,
Anup Mondal,Local Guide ・12 reviews,Packaging can be inpimpro,
Parag Patil,6 reviews,"Nice, I happy",
Subra Manian,2 reviews,Very nice.... Useful....,
satish kale,1 review,Nice products,
jana nagaraju,2 reviews,Good product,
pratap khunti,Local Guide ・72 reviews,good products,
गांव दिहात भारत,1 review,Very good,
Shankar Nhavkar,1 review,Just Great,
LOGICX Dr.Nandkumar Bafna,2 reviews,excellent,
Braja Mohan Braja Mohan,1 review,Good,
Khaja Mohiddin,1 review,Fine,
Mukesh Kumar,Local Guide ・7 reviews,Very nice,
Rajesh Oganiya,1 review,"(Translated by Google) I was fed with an item on Toolsvilla. I have received a different item than the one I had asked for and instead of taking any concrete steps on contacting the customer care on the matter, I have been advised to use …",
nandhi sathyareddy,2 reviews,"(Translated by Google) The junaki battery sprayer you sent works smoothly so this sprayer designed to suit their budget to the farmers can do that in a timely manner Tools Villa is a good buying center

(Original)
మీరు పంపిన junaki బ్యాటరీ …",
Sanaye Films,1 review,(Translated by Google) The third class is this company ... sell second hand product..My compressor machine Kharida tha chaar din main hoon bad hoon..Our company refused to serve me ... Thieves are the company .. Offline Kharedi is the best. …,
Rajesh Shrivastava,Local Guide ・7 reviews,"(Translated by Google) From order no.11033293 I ordered a premium quality 13mm electric drill machine tool kit which is of very poor 3rd quality. Nobody even picks up the phone, not getting back.

(Original)
order no.11033293 से मैंने …",
Gyanendra Mishra,1 review,"(Translated by Google) I ordered a manual dal grinder machine which is very good customer service at a reasonable price.

(Original)
मैंने मैनुअल दाल ग्राइंडर मशीन मंगाई जो कि उचित मूल्य पर मिली कस्टमर सर्विस काफी अच्छी है।",
pawan bhilala,5 reviews,"(Translated by Google) osm masin

(Original)
osm masin",
Amit Jain,1 review,"(Translated by Google) Acha hey

(Original)
Acha hey.",
Anab Amsong,Local Guide ・21 reviews,"(Translated by Google) Falto company ghatiya

(Original)
Falto company ghatiya",
Gautam Kumar,1 review,"(Translated by Google) Fraud company, took payment online by sending payment link and it's 1 month passed, they haven't dispatched my product now I'm asking to refund my money but haven't got anything.
iske customer care bus itna kahte hai …",
Gorakhnath Gupta,1 review,"(Translated by Google) Achha hai

(Original)
Achha hai",
Ravindra Kavathekar,1 review,"(Translated by Google) The machine is good. But the Tulwasilla Company does not assist in technical difficulties.

(Original)
मशिन चांगली आहे. पण तूल्स्वील्ला कंपनी टेक्निकल अडचणी मध्ये साह्य करीत नाहीत.",
Bijay shaw,1 review,"(Translated by Google) Machine me battery nahi tha baki sab ok

(Original)
Machine me battery nahi tha baki sab ok",
suvendu tripathy,7 reviews,"(Translated by Google) Its a verry good product and also good price
E jo machine hai e bahat kamki chij hai
Aur uska use achetarikhe se karna chahie jo aapko is tools villa se jankari hogi kuy ki maine is chija ka labha uthaya hai
Me jo …",
Atul Yadav,1 review,"(Translated by Google) Very good service of toolwela.During delivery has been done from time to time. Thank you very much

(Original)
टूल्सविला की बहुत ही अच्छी सर्विस है।समय से और बढ़िया सामान की डिलवरी हुई है।बहुत बहुत धन्यवाद टूल्सविला को",
Hridayanand yadav,3 reviews,"(Translated by Google) It's a convenient and useful tool. It is easy to use. Purchasing is convenient. very very good

(Original)
यह खिफायती और उपयोगी उपकरण है। इसे प्रयोग करना सरल है। परचेज करना सुविधाजनक रहा है। very very good .",
sahu krishi Kendra chilhati pritam sahu,1 review,"(Translated by Google) Delivery bahut slow h aur machine kharab Aya hai aur toolsvila ke trf abhi tk koi action nhi liya ja RHA hai

(Original)
Delivery bahut slow h aur machine kharab Aya hai aur toolsvila ke trf abhi tk koi action nhi liya ja RHA hai",
